"Ticker","Name","Price","Dividend Yield","Market Cap ($M)","P/E Ratio","Payout Ratio","Beta"
"WY","Weyerhaeuser Co.","29.37","4.6","21,878","-145.0","-671.3","0.84"
"WYNN","Wynn Resorts Ltd.","123.00","2.8","13,236","15.9","45.3","1.81"
"XEC","Cimarex Energy Co.","44.57","2.2","4,521","7.2","15.5","1.63"
"XEL","Xcel Energy, Inc.","62.44","2.6","32,157","24.9","63.7","0.25"
"XLNX","Xilinx, Inc.","94.75","1.9","23,826","25.2","48.6","1.47"
"XOM","Exxon Mobil Corp.","68.64","4.9","290,423","16.5","81.4","0.91"
"XRAY","Dentsply Sirona, Inc.","53.35","0.7","11,960","110.6","75.1","0.71"
"XRX","Xerox Holdings Corp.","30.79","1.6","6,813","13.6","22.0","1.36"
"XYL","Xylem, Inc.","84.03","1.4","15,127","26.4","36.7","1.11"
"YUM","Yum! Brands, Inc.","109.51","1.5","33,322","25.5","37.8","0.53"
"ZBH","Zimmer Biomet Holdings, Inc.","135.95","0.7","27,912","-77.2","-54.5","0.91"
"ZION","Zions Bancorporation NA","48.80","5.3","8,314","10.8","57.6","0.99"
"ZTS","Zoetis, Inc.","125.13","0.6","59,756","43.7","27.3","0.96"
